,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,id
0,21HwOODUViTuHpkSYbdcMy,SANNA NORTH,Chill Out Covers - Chillout Covers - Chill Acoustic - Relaxing Songs - Calming Acoustic Songs,Unsteady - Acoustic Covers Versions of Popular Songs,29,191052,False,0.699,0.343,2,-6.052,1,0.0296,0.506,0.0,0.56,0.383,114.021,4,acoustic,0
1,63m3fusWaHBnB3isFfAlRd,Eddie Vedder;Cat Power,Ukulele Songs,Tonight You Belong To Me,44,101539,False,0.653,0.174,7,-11.07,1,0.052,0.991,0.00248,0.106,0.611,138.981,3,acoustic,1
2,3InBIgygsMQ90Oc2Izt1mg,Takehara Pistol,PEACE OUT,一等賞,29,133840,False,0.659,0.83,5,-4.659,1,0.0445,0.588,0.0,0.111,0.937,127.014,4,acoustic,2
3,1m3Lsbhkn6yL8apzsCiukd,Ben Woodward,Memories (Acoustic),Memories (Acoustic),46,183337,False,0.802,0.183,8,-17.1,1,0.403,0.809,0.0,0.109,0.664,91.078,4,acoustic,3
4,4jK6bBO2JbkvvgT7FPj8c5,Kurt Cobain,Montage Of Heck: The Home Recordings (Deluxe Soundtrack),Poison's Gone,51,131800,False,0.429,0.258,5,-12.408,1,0.0317,0.868,0.888,0.108,0.0897,108.796,4,acoustic,4
5,3M6NL7PxIDZ3ArfPrBUTUP,Days N Daze,Show Me the Blueprints.,Flurry Rush,37,169318,True,0.371,0.674,9,-3.72,1,0.0488,0.169,0.0,0.0889,0.92,87.603,4,acoustic,5
6,0MWxVd7Hk952psJoL249TT,Andrew Ripp,Evergreen,Jericho,55,203070,False,0.501,0.716,10,-4.661,1,0.0411,0.189,0.0,0.0606,0.363,70.919,4,acoustic,6
7,6OCsvPU6P84wJ0erggCRv4,Albert King,pov: you have a holly jolly christmas,Christmas Comes But Once A Year,0,272640,False,0.687,0.494,1,-9.421,1,0.0505,0.324,5.5e-05,0.0867,0.621,93.269,1,acoustic,7
8,5D6xoqZwDoqRO5V9rNgxFO,Boyce Avenue,"Cover Sessions, Vol. 6",Hallelujah,54,267765,False,0.62,0.21,11,-9.633,0,0.0274,0.911,2.22e-06,0.108,0.163,98.558,3,acoustic,8
9,4E6cwWJWZw2zWf7VFbH7wf,Sara Bareilles,Little Voice,Love Song,73,258826,False,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,4,acoustic,9
10,7bCFRx6rAl9nZpKMm0QAOs,Jorge Drexler,Cara B,Disneylandia - Cara B,25,285880,False,0.575,0.295,2,-19.252,0,0.204,0.877,0.000763,0.336,0.564,79.991,4,afrobeat,10
11,4CA1DhfgMg9iRDibIgTu1f,Criolo,Espiral de Ilusão - Deluxe Edition,4 da Manhã – Deluxe Edition,30,213480,False,0.6,0.476,0,-8.558,0,0.084,0.7,0.00488,0.104,0.572,142.033,4,afrobeat,11
12,2m6S1lrrGejWr1FOYyW7kP,TJ Cream;Edz,Many Are Called,Many Are Called,19,206958,False,0.882,0.722,2,-8.223,0,0.107,0.57,0.0,0.118,0.941,140.028,4,afrobeat,12
13,4BKI37hGrod94ofXtVycYL,Criolo,Espiral de Ilusão,Calçada,37,206760,False,0.817,0.771,5,-5.132,1,0.087,0.704,0.0,0.0885,0.76,111.099,4,afrobeat,13
